,instance_name,num_agents,planner,single_agent_planner,trail,success,n_collision,time,path_length,mean_acc,mean_jerk,mean_geo,expansions,dynamic,diffusion_step,constraint,trail_path
29,DropRegion,8,CBS,KCBSLower,8,0,2,82.94525003433228,2.8646999299526215,0.018637623521499336,0.024831916205585003,0.001896364767162595,16,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___8/planner___CBS/single_agent_planner___KCBSLower/8
30,DropRegion,8,CBS,KCBSLower,4,1,0,226.2382640838623,2.930399924516678,0.02053046750370413,0.02866716170683503,0.0022253030620049685,34,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___8/planner___CBS/single_agent_planner___KCBSLower/4
31,DropRegion,8,CBS,KCBSLower,3,0,1,30.53492021560669,2.514599993824959,0.016516164410859346,0.02237178140785545,0.0017327243913314305,8,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___8/planner___CBS/single_agent_planner___KCBSLower/3
32,DropRegion,8,CBS,KCBSLower,2,0,1,86.54658579826355,2.50199992954731,0.017802706453949213,0.023862785077653825,0.0018121852772310376,12,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___8/planner___CBS/single_agent_planner___KCBSLower/2
33,DropRegion,8,CBS,KCBSLower,5,1,0,2.5486340522766113,2.6072999835014343,0.019413852831348777,0.026045082602649927,0.0020038818911416456,10,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___8/planner___CBS/single_agent_planner___KCBSLower/5
34,DropRegion,8,CBS,WAStar,0,1,0,2.1263697147369385,2.000000014901161,0.020340338465757668,0.030071287066675723,0.003452380176895531,29,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___8/planner___CBS/single_agent_planner___WAStar/0
35,DropRegion,8,ECBS,WAStar,0,1,0,1.1130390167236328,2.000000014901161,0.01993857359047979,0.029476049239747226,0.0033333325300191063,7,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___8/planner___ECBS/single_agent_planner___WAStar/0
36,DropRegion,6,CBS,KCBSLower,9,0,1,2.783622980117798,2.2967999378840127,0.020098647723595302,0.02799730934202671,0.001969696255400777,8,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___6/planner___CBS/single_agent_planner___KCBSLower/9
37,DropRegion,6,CBS,KCBSLower,0,1,0,1.4264459609985352,2.5380001068115234,0.017514204295972984,0.02398748726894458,0.001796442239234845,3,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___6/planner___CBS/single_agent_planner___KCBSLower/0
38,DropRegion,6,CBS,KCBSLower,7,0,2,1.3779151439666748,2.5907999873161316,0.01865791870901982,0.025238786979267996,0.0020530019343520203,4,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___6/planner___CBS/single_agent_planner___KCBSLower/7
39,DropRegion,6,CBS,KCBSLower,6,1,0,2.834512948989868,2.815199931462606,0.017801033643384773,0.02442148110518853,0.0019057997851632535,9,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___6/planner___CBS/single_agent_planner___KCBSLower/6
40,DropRegion,6,CBS,KCBSLower,1,0,1,1.7384529113769531,2.840400060017904,0.018591471016407013,0.02503496129065752,0.0020814581269708774,6,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___6/planner___CBS/single_agent_planner___KCBSLower/1
